District,Year,Crop,Season,Area_Cultivated_Hectares,Average_Temperature_C,Total_Rainfall_mm,Humidity_Percent,Soil_Type,Soil_pH,Nitrogen_N_kg_per_ha,Phosphorus_P_kg_per_ha,Potassium_K_kg_per_ha,Irrigation_Availability,Yield_kg_per_ha,Total_Yield_kg
Ahmednagar,2015,Bajra,Zaid,47.88,32.0,446.6,88.6,Loamy,6.89,40.43,42.94,33.83,Partially Irrigated,1813.39,86820.85
Ahmednagar,2015,Bajra,Rabi,11.86,34.9,527.6,63.7,Red,6.97,86.74,48.66,37.23,Partially Irrigated,2192.63,26008.05
Ahmednagar,2015,Bajra,Kharif,44.82,34.7,503.5,55.1,Black,7.46,57.94,33.51,15.62,Rainfed,1104.93,49524.94
Ahmednagar,2015,Cotton,Rabi,39.83,36.9,742.6,47.4,Laterite,7.23,98.26,59.97,58.74,Irrigated,2540.2,101185.0
Ahmednagar,2015,Cotton,Kharif,37.08,28.2,601.3,73.3,Sandy,6.58,80.8,26.37,34.93,Rainfed,1315.18,48761.42
Ahmednagar,2015,Cotton,Zaid,23.01,25.4,900.3,68.9,Loamy,6.28,84.01,44.91,33.2,Partially Irrigated,1618.72,37246.15
Ahmednagar,2015,Cotton,Zaid,13.1,28.0,600.9,73.9,Loamy,7.38,79.97,33.09,25.39,Rainfed,1158.34,15172.98
Ahmednagar,2015,Groundnut,Rabi,48.44,28.6,589.1,78.8,Black,6.78,34.03,59.64,97.91,Partially Irrigated,2070.06,100276.62
Ahmednagar,2015,Groundnut,Rabi,16.51,23.1,614.4,51.8,Red,6.42,46.68,56.69,70.4,Irrigated,3464.45,57187.59
Ahmednagar,2015,Groundnut,Rabi,13.11,29.8,568.1,65.8,Loamy,6.33,9.73,47.16,66.72,Irrigated,1707.16,22383.68
Ahmednagar,2015,Groundnut,Rabi,32.8,35.6,832.3,77.8,Black,5.65,21.65,47.73,90.71,Partially Irrigated,1372.01,45002.08
Ahmednagar,2015,Groundnut,Rabi,28.14,26.5,485.1,84.4,Red,6.64,34.41,61.29,71.68,Irrigated,2956.38,83187.41
Ahmednagar,2015,Jowar,Rabi,40.47,34.2,523.0,46.4,Sandy,6.34,43.66,55.6,42.64,Irrigated,2270.03,91876.24
Ahmednagar,2015,Jowar,Kharif,24.32,24.7,526.1,68.1,Red,7.67,53.82,44.27,9.47,Irrigated,1627.91,39584.21
Ahmednagar,2015,Maize,Rabi,25.99,24.2,548.8,41.3,Sandy,6.22,133.42,47.21,44.99,Irrigated,5012.23,130267.62
Ahmednagar,2015,Maize,Zaid,16.91,27.7,610.4,89.9,Laterite,6.46,146.39,73.76,30.23,Irrigated,5514.0,93269.11
Ahmednagar,2015,Maize,Kharif,21.57,19.0,585.0,52.5,Clayey,6.45,144.42,48.94,26.87,Partially Irrigated,3605.69,77773.41
Ahmednagar,2015,Rice,Rabi,35.61,25.7,844.5,55.6,Clayey,6.01,50.91,72.42,29.61,Irrigated,4186.08,149046.05
Ahmednagar,2015,Rice,Kharif,2.8,24.3,2031.6,70.0,Sandy,6.06,146.04,53.29,35.01,Irrigated,4866.42,13628.87
Ahmednagar,2015,Rice,Rabi,49.03,35.3,1626.8,57.4,Clayey,5.74,62.46,47.5,30.81,Rainfed,2421.06,118701.47
Ahmednagar,2015,Soybean,Rabi,7.09,25.7,587.9,49.1,Black,6.54,28.6,94.52,53.82,Rainfed,2051.35,14545.25
Ahmednagar,2015,Soybean,Kharif,10.87,22.9,739.3,64.1,Sandy,6.87,15.62,61.13,76.16,Rainfed,1828.08,19872.62
Ahmednagar,2015,Soybean,Zaid,26.39,24.0,542.6,61.4,Sandy,6.21,46.48,76.71,58.65,Irrigated,3837.5,101271.53
Ahmednagar,2015,Soybean,Zaid,13.66,27.8,698.8,68.7,Clayey,6.27,25.45,48.79,53.65,Rainfed,1685.75,23019.98
Ahmednagar,2015,Soybean,Kharif,37.5,30.9,741.2,69.4,Loamy,6.21,33.02,67.08,25.11,Partially Irrigated,1800.74,67527.74
Ahmednagar,2015,Sugarcane,Zaid,11.0,36.7,2197.3,70.8,Loamy,6.49,133.39,86.67,143.64,Rainfed,43727.46,480903.52
Ahmednagar,2015,Sugarcane,Kharif,46.82,24.7,1391.6,51.0,Red,6.8,285.96,88.23,134.14,Irrigated,89613.75,4195895.07
Ahmednagar,2015,Sunflower,Zaid,12.01,19.7,481.7,84.2,Red,7.18,35.98,56.03,88.08,Partially Irrigated,1215.24,14595.01
Ahmednagar,2015,Sunflower,Zaid,31.07,30.1,420.1,66.8,Black,6.67,44.78,65.38,53.92,Irrigated,1557.46,48388.7
Ahmednagar,2015,Sunflower,Rabi,1.27,23.4,584.9,65.1,Sandy,6.42,57.16,39.85,76.91,Rainfed,1161.36,1479.1
Ahmednagar,2015,Wheat,Rabi,46.82,28.0,711.6,43.4,Red,6.54,151.44,64.24,50.85,Partially Irrigated,2794.49,130829.97
Ahmednagar,2015,Wheat,Zaid,41.83,26.5,466.5,64.9,Clayey,7.11,88.75,94.81,54.17,Rainfed,2473.92,103489.81
Ahmednagar,2015,Wheat,Rabi,27.46,28.7,505.0,80.5,Black,7.37,115.59,59.13,34.99,Rainfed,1908.88,52413.59
Ahmednagar,2015,Wheat,Zaid,31.93,25.4,704.6,75.4,Laterite,6.76,103.65,86.0,42.98,Partially Irrigated,2922.37,93302.63
Ahmednagar,2015,Wheat,Rabi,14.44,13.4,300.8,68.6,Loamy,7.93,55.95,52.93,43.44,Partially Irrigated,1875.38,27075.36
Ahmednagar,2015,Wheat,Rabi,15.8,27.1,610.6,66.8,Sandy,6.67,99.44,65.52,38.07,Rainfed,2233.65,35284.17
Akola,2015,Bajra,Kharif,23.0,20.1,235.8,72.7,Sandy,6.67,58.31,50.89,30.16,Partially Irrigated,1258.72,28953.53
Akola,2015,Bajra,Zaid,43.55,30.3,404.6,87.7,Clayey,6.94,64.91,31.77,42.38,Irrigated,2510.12,109319.13
Akola,2015,Bajra,Kharif,29.82,36.6,552.0,68.8,Clayey,7.12,58.82,36.64,35.89,Partially Irrigated,1490.34,44441.0
Akola,2015,Bajra,Zaid,41.48,29.5,485.1,40.4,Sandy,6.74,32.22,43.07,28.32,Partially Irrigated,1369.53,56804.16
Akola,2015,Bajra,Rabi,39.08,29.7,514.1,47.9,Laterite,6.86,43.37,34.13,12.98,Rainfed,1048.11,40958.89
Akola,2015,Bajra,Zaid,1.97,34.4,406.4,43.1,Red,7.17,61.8,48.66,29.53,Irrigated,1976.44,3884.28
Akola,2015,Bajra,Rabi,2.25,29.0,604.9,63.2,Black,7.74,31.0,28.94,34.29,Rainfed,994.31,2232.75
Akola,2015,Cotton,Rabi,24.24,33.9,1272.7,82.7,Sandy,6.76,98.61,11.39,22.71,Irrigated,1163.52,28203.98
Akola,2015,Cotton,Kharif,38.94,28.5,1183.7,53.0,Sandy,6.73,106.09,29.18,43.18,Irrigated,2150.15,83732.27
Akola,2015,Cotton,Zaid,32.25,28.0,758.3,53.8,Laterite,6.87,29.8,45.77,10.87,Rainfed,834.28,26903.04
Akola,2015,Cotton,Rabi,27.65,29.4,577.9,56.1,Sandy,7.13,93.88,41.29,26.97,Rainfed,1299.08,35914.06
Akola,2015,Cotton,Zaid,18.63,29.0,360.2,83.8,Laterite,7.02,71.52,27.29,49.12,Irrigated,1476.04,27497.44
Akola,2015,Groundnut,Kharif,9.63,30.0,515.8,60.6,Red,6.72,29.21,61.47,68.0,Partially Irrigated,1906.06,18348.32
Akola,2015,Groundnut,Zaid,6.77,26.3,522.3,71.8,Laterite,6.82,33.23,15.96,88.29,Irrigated,1899.42,12863.34
Akola,2015,Groundnut,Rabi,19.79,34.3,846.1,66.7,Clayey,5.96,33.8,33.27,96.35,Irrigated,1846.06,36527.74
Akola,2015,Jowar,Zaid,47.83,28.0,551.5,42.2,Loamy,6.8,38.69,35.2,32.42,Irrigated,2407.27,115132.11
Akola,2015,Jowar,Kharif,15.2,25.5,415.0,60.6,Loamy,6.51,72.66,24.31,15.62,Rainfed,1521.14,23116.2
Akola,2015,Jowar,Zaid,18.47,30.5,492.8,58.9,Loamy,6.57,45.4,58.99,27.68,Rainfed,1640.01,30293.19
Akola,2015,Jowar,Rabi,7.9,31.0,424.3,68.8,Laterite,6.42,68.58,44.17,15.51,Partially Irrigated,1850.81,14617.4
Akola,2015,Maize,Zaid,34.48,18.2,583.9,89.9,Sandy,5.78,34.04,56.6,42.47,Partially Irrigated,2477.05,85412.43
Akola,2015,Maize,Kharif,46.55,23.4,735.9,58.8,Laterite,5.8,15.81,60.41,48.46,Irrigated,3236.51,150663.66
Akola,2015,Maize,Kharif,39.53,23.8,875.0,59.3,Sandy,5.99,75.52,43.69,64.99,Irrigated,3668.95,145019.68
Akola,2015,Maize,Rabi,3.85,24.4,494.4,59.0,Laterite,6.1,150.11,56.79,54.06,Irrigated,4812.41,18548.6
Akola,2015,Maize,Kharif,9.58,27.9,801.5,72.6,Clayey,5.52,70.45,46.47,39.73,Partially Irrigated,2686.41,25734.72
Akola,2015,Rice,Rabi,13.43,26.2,1996.4,52.0,Black,6.52,114.81,22.95,14.58,Partially Irrigated,3070.34,41241.08
Akola,2015,Rice,Kharif,36.41,21.8,1123.6,79.1,Sandy,6.65,136.45,59.28,54.48,Irrigated,5530.63,201355.89
Akola,2015,Soybean,Rabi,39.37,27.0,498.9,72.1,Loamy,6.98,34.42,46.32,86.73,Rainfed,2316.51,91192.81
Akola,2015,Soybean,Rabi,23.74,31.7,669.3,60.5,Laterite,6.19,33.54,91.73,57.3,Partially Irrigated,2634.53,62544.75
Akola,2015,Soybean,Zaid,24.05,29.6,454.8,66.1,Laterite,6.62,36.03,58.81,43.13,Rainfed,1674.89,40280.57
Akola,2015,Soybean,Rabi,2.92,27.0,601.9,41.9,Clayey,6.5,34.8,81.62,68.91,Irrigated,3589.99,10480.67
Akola,2015,Sugarcane,Zaid,29.21,31.1,2190.4,55.0,Red,6.92,298.35,69.35,141.79,Partially Irrigated,73865.73,2157337.62
Akola,2015,Sugarcane,Kharif,39.09,34.7,2113.6,52.4,Clayey,6.52,286.75,56.05,84.97,Partially Irrigated,80530.56,3147643.64
Akola,2015,Sugarcane,Rabi,34.29,29.9,1701.2,54.6,Laterite,7.17,196.93,93.35,83.31,Partially Irrigated,70156.99,2405999.2
Akola,2015,Sugarcane,Kharif,15.62,26.4,628.8,89.3,Black,6.4,182.61,112.21,163.84,Rainfed,60720.8,948385.64
Akola,2015,Sunflower,Rabi,28.86,25.8,511.3,76.3,Black,6.91,65.9,50.07,38.56,Partially Irrigated,1260.54,36375.52
Akola,2015,Sunflower,Zaid,18.88,28.9,377.6,42.9,Black,6.14,81.79,45.42,67.78,Rainfed,1159.01,21881.55
Akola,2015,Wheat,Rabi,1.54,15.4,512.2,73.2,Black,6.32,145.97,57.39,64.57,Rainfed,2562.95,3946.05
Amravati,2015,Bajra,Rabi,48.15,32.8,392.9,70.4,Red,7.72,41.28,59.53,34.18,Irrigated,2076.69,99994.98
Amravati,2015,Bajra,Kharif,18.1,34.7,359.8,43.7,Clayey,7.38,65.54,30.9,39.53,Rainfed,1505.47,27247.04
Amravati,2015,Bajra,Zaid,49.33,40.5,574.5,67.7,Red,7.59,59.61,34.81,27.47,Rainfed,1283.53,63316.6
Amravati,2015,Bajra,Kharif,19.04,30.5,406.7,58.1,Clayey,7.52,63.03,31.87,31.16,Rainfed,1203.78,22925.71
Amravati,2015,Cotton,Kharif,20.34,34.2,795.7,60.6,Clayey,6.68,81.26,30.93,44.33,Partially Irrigated,1572.04,31981.61
Amravati,2015,Cotton,Zaid,3.32,17.3,1041.7,44.3,Red,6.67,101.64,30.87,43.34,Partially Irrigated,1611.74,5347.81
Amravati,2015,Cotton,Kharif,35.33,28.7,583.2,67.6,Red,6.73,41.64,32.42,45.82,Rainfed,1166.38,41205.07
Amravati,2015,Cotton,Zaid,48.22,34.3,910.7,51.4,Black,7.09,65.9,44.95,44.7,Rainfed,1728.41,83342.47
Amravati,2015,Cotton,Rabi,21.61,33.4,633.6,81.0,Laterite,7.28,83.06,12.6,69.39,Rainfed,1646.84,35583.13
Amravati,2015,Groundnut,Zaid,39.37,30.3,874.4,84.8,Clayey,6.02,51.94,57.2,66.35,Rainfed,1508.34,59380.13
Amravati,2015,Groundnut,Rabi,4.87,27.1,654.4,76.2,Sandy,6.42,15.09,60.08,83.56,Partially Irrigated,2153.06,10483.84
Amravati,2015,Jowar,Rabi,43.48,27.4,402.0,72.0,Sandy,6.08,64.37,32.96,37.91,Irrigated,2774.35,120641.36
Amravati,2015,Jowar,Kharif,12.39,23.9,412.6,87.3,Clayey,7.26,46.44,34.59,16.25,Irrigated,1875.39,23227.24
Amravati,2015,Jowar,Kharif,11.96,24.9,377.3,43.1,Black,6.82,60.54,49.94,36.87,Rainfed,2006.26,23987.57
Amravati,2015,Jowar,Kharif,10.8,25.4,511.6,82.2,Black,7.16,44.83,32.59,30.15,Partially Irrigated,1806.22,19498.86
Amravati,2015,Jowar,Kharif,34.91,26.9,624.2,48.3,Loamy,6.61,29.6,25.31,45.84,Rainfed,1523.06,53164.92
Amravati,2015,Rice,Zaid,4.16,27.7,1670.6,68.0,Black,7.45,113.1,36.45,34.99,Rainfed,3335.42,13877.13
Amravati,2015,Rice,Zaid,21.78,26.2,1526.8,62.2,Sandy,6.44,152.31,57.04,53.22,Irrigated,5913.64,128815.44
Amravati,2015,Soybean,Rabi,40.81,24.9,857.3,84.3,Clayey,5.88,38.73,51.82,35.53,Rainfed,1551.3,63309.18
Amravati,2015,Sugarcane,Zaid,35.31,27.6,2203.3,71.1,Loamy,6.51,82.29,90.43,89.87,Rainfed,42985.11,1517647.21
Amravati,2015,Sugarcane,Kharif,35.73,24.1,1487.0,51.9,Clayey,6.59,285.29,95.92,91.66,Irrigated,80008.49,2858318.64
Amravati,2015,Sunflower,Zaid,18.9,16.6,304.0,71.3,Sandy,7.18,96.81,37.76,79.4,Rainfed,1182.79,22359.64
Amravati,2015,Sunflower,Zaid,6.96,19.9,544.4,53.8,Sandy,6.24,99.89,60.35,47.53,Partially Irrigated,1597.21,11119.73
Amravati,2015,Sunflower,Zaid,25.45,25.4,564.6,73.1,Clayey,6.57,98.18,39.0,45.8,Irrigated,1925.54,49003.22
Amravati,2015,Wheat,Rabi,42.57,22.9,448.3,70.6,Laterite,6.87,161.95,84.76,53.87,Rainfed,3277.8,139546.72
Amravati,2015,Wheat,Kharif,6.67,19.6,612.3,59.4,Clayey,6.38,105.83,92.29,51.06,Irrigated,4382.92,29221.9
Aurangabad,2015,Bajra,Kharif,27.07,38.3,361.1,40.4,Sandy,6.95,62.38,43.8,33.32,Rainfed,1221.48,33060.06
Aurangabad,2015,Cotton,Zaid,36.28,25.5,866.8,43.1,Laterite,6.73,94.32,27.77,75.17,Irrigated,2969.91,107742.9
Aurangabad,2015,Cotton,Zaid,19.95,28.2,681.4,61.2,Laterite,7.5,54.53,55.67,41.84,Rainfed,1626.61,32448.27
Aurangabad,2015,Cotton,Zaid,31.41,28.9,883.2,71.0,Laterite,6.75,27.34,45.06,47.74,Irrigated,1712.92,53795.88
Aurangabad,2015,Groundnut,Kharif,1.33,32.2,700.2,69.5,Clayey,7.41,15.33,72.79,97.27,Partially Irrigated,2013.27,2686.06
Aurangabad,2015,Groundnut,Zaid,22.75,27.5,528.3,86.4,Sandy,6.53,27.98,42.51,88.78,Irrigated,2218.54,50476.8
Aurangabad,2015,Groundnut,Kharif,15.08,22.5,623.7,52.4,Loamy,6.14,33.82,46.8,79.94,Partially Irrigated,1962.79,29604.58
Aurangabad,2015,Groundnut,Rabi,36.48,26.6,654.1,49.4,Laterite,6.01,44.21,80.4,93.46,Partially Irrigated,2654.64,96839.58
Aurangabad,2015,Groundnut,Rabi,19.66,29.4,525.4,70.0,Sandy,6.39,23.39,48.4,88.99,Irrigated,2213.62,43519.68
Aurangabad,2015,Groundnut,Zaid,38.66,28.7,664.8,66.1,Sandy,5.92,38.86,59.31,40.04,Rainfed,1939.86,74999.7
Aurangabad,2015,Groundnut,Kharif,5.63,28.0,642.5,74.4,Clayey,6.61,46.64,56.16,50.71,Irrigated,2998.18,16876.54
Aurangabad,2015,Jowar,Zaid,36.77,28.8,425.9,47.9,Red,6.83,45.33,48.39,35.4,Rainfed,1687.28,62044.59
Aurangabad,2015,Jowar,Rabi,28.92,18.9,712.0,88.8,Clayey,6.54,66.66,57.73,47.54,Rainfed,1879.81,54357.14
Aurangabad,2015,Jowar,Kharif,30.32,27.9,449.6,43.1,Clayey,6.84,38.74,21.93,30.71,Partially Irrigated,1618.61,49078.07
Aurangabad,2015,Jowar,Rabi,49.81,24.9,452.8,55.6,Black,6.56,60.53,56.2,19.4,Irrigated,3078.02,153321.83
Aurangabad,2015,Jowar,Kharif,25.64,25.8,446.9,78.5,Sandy,6.42,73.46,30.45,41.16,Rainfed,1629.79,41786.62
Aurangabad,2015,Maize,Rabi,41.5,22.2,894.2,82.4,Loamy,6.54,124.64,67.9,36.39,Irrigated,5356.65,222293.19
Aurangabad,2015,Maize,Zaid,39.29,26.0,937.0,84.2,Laterite,5.92,94.96,42.39,61.66,Rainfed,2319.66,91150.09
Aurangabad,2015,Maize,Kharif,37.7,21.0,506.2,44.9,Loamy,6.76,77.27,42.75,23.7,Partially Irrigated,2725.34,102749.66
Aurangabad,2015,Rice,Zaid,20.47,35.4,1420.1,40.9,Laterite,5.48,115.1,18.18,54.39,Rainfed,2792.95,57176.17
Aurangabad,2015,Soybean,Rabi,3.39,24.3,628.8,81.6,Black,6.94,33.58,95.99,44.31,Rainfed,2365.22,8025.09
Aurangabad,2015,Sugarcane,Zaid,13.49,28.9,2077.8,83.6,Loamy,6.5,234.16,93.47,118.19,Partially Irrigated,81644.89,1101326.72
Aurangabad,2015,Sugarcane,Rabi,47.55,31.7,1678.0,71.6,Red,5.85,282.43,70.13,96.07,Partially Irrigated,62446.27,2969013.25
Aurangabad,2015,Sugarcane,Zaid,42.4,30.0,2405.3,52.4,Loamy,7.53,157.76,75.76,130.74,Partially Irrigated,62197.38,2637297.13
Aurangabad,2015,Sugarcane,Zaid,3.6,35.4,1643.2,48.6,Sandy,5.98,246.57,94.11,117.55,Partially Irrigated,74083.88,266402.72
Aurangabad,2015,Sugarcane,Kharif,42.94,27.0,2616.1,61.7,Sandy,7.23,235.26,90.27,157.8,Irrigated,99796.58,4285246.09
Aurangabad,2015,Sunflower,Rabi,21.67,23.3,537.7,84.5,Black,7.44,114.33,39.9,55.31,Partially Irrigated,1381.27,29938.5
Aurangabad,2015,Wheat,Zaid,44.22,18.5,496.0,68.6,Black,6.29,56.31,48.11,60.86,Partially Irrigated,2851.89,126099.27
Aurangabad,2015,Wheat,Kharif,35.85,26.2,652.0,85.2,Clayey,6.53,100.18,77.46,64.27,Partially Irrigated,3126.74,112078.63
Aurangabad,2015,Wheat,Kharif,11.26,19.2,386.5,71.0,Loamy,6.54,146.04,99.26,45.48,Rainfed,3407.54,38365.62
