State,Latitude,Longitude,N_kg_per_ha,P_kg_per_ha,K_kg_per_ha,Irrigation_pct
Andaman and Nicobar Islands,11.7401,92.6586,20.0,10.0,8.0,15.0
Andhra Pradesh,15.9129,79.7400,150.0,60.0,45.0,49.0
Arunachal Pradesh,28.2180,94.7278,5.0,2.0,2.0,20.0
Assam,26.2006,92.9376,70.0,20.0,18.0,10.0
Bihar,25.0961,85.3131,175.0,45.0,25.0,68.0
Chandigarh,30.7050,76.8000,120.0,40.0,20.0,60.0
Chhattisgarh,21.2787,81.8661,90.0,35.0,15.0,33.0
Dadra and Nagar Haveli,20.1809,73.0169,60.0,25.0,15.0,25.0
Daman and Diu,20.7150,70.9500,60.0,25.0,15.0,25.0
Delhi,28.6000,77.1500,110.0,40.0,20.0,75.0
Goa,15.2993,74.1240,50.0,25.0,20.0,25.0
Gujarat,22.2587,71.1924,130.0,45.0,20.0,50.0
Haryana,29.0588,76.0856,175.0,55.0,15.0,88.0
Himachal Pradesh,31.1048,77.1734,55.0,25.0,12.0,20.0
Jammu and Kashmir,33.7782,76.5762,90.0,30.0,15.0,42.0
Jharkhand,23.6102,85.2799,60.0,25.0,12.0,15.0
Karnataka,15.3173,75.7139,120.0,55.0,45.0,35.0
Kerala,10.8505,76.2711,65.0,30.0,55.0,17.0
Laddakh,34.2268,77.5619,10.0,5.0,5.0,50.0
Madhya Pradesh,22.9734,78.6569,95.0,50.0,10.0,45.0
Maharashtra,19.7515,75.7139,110.0,50.0,45.0,19.0
Manipur,24.6637,93.7000,45.0,15.0,15.0,45.0
Meghalaya,25.4670,91.3662,25.0,12.0,12.0,25.0
Mizoram,23.1645,92.9376,20.0,10.0,10.0,20.0
Nagaland,26.1584,94.5624,10.0,5.0,5.0,25.0
Odisha,20.5000,84.8000,80.0,35.0,25.0,35.0
Puducherry,11.9416,79.7500,150.0,55.0,55.0,60.0
Punjab,31.1471,75.3412,175.0,55.0,12.0,98.0
Rajasthan,27.0238,74.2179,70.0,30.0,8.0,38.0
Sikkim,27.5330,88.5122,15.0,8.0,8.0,15.0
Tamil Nadu,11.1271,78.6569,140.0,55.0,55.0,58.0
Telangana,18.1124,79.0193,150.0,60.0,45.0,49.0
Tripura,23.9408,91.9882,45.0,18.0,18.0,30.0
Uttar Pradesh,26.8467,80.7000,165.0,50.0,15.0,80.0
Uttarakhand,30.0668,79.0193,120.0,40.0,15.0,48.0
West Bengal,22.9868,87.8550,150.0,55.0,45.0,58.0
