District,Year,Crop,Season,Area_ha,Avg_Temperature_C,Total_Rainfall_mm,Humidity_pct,Soil_Type,Soil_pH,N_kg_per_ha,P_kg_per_ha,K_kg_per_ha,Irrigation_pct,Yield
NANDURBAR,2001,Cotton(lint),Kharif,29899.89,29.07,546.1,51.86,Clay Loam,7.27,106.9,52.3,53.9,23.4,0.7564
SOLAPUR,2013,Groundnut,Kharif,100.35,28.86,1174.2,53.09,Clay Loam,6.05,103.1,44.9,48.7,58.0,2.5915
JALNA,2002,Jowar,Kharif,14717.34,25.21,467.8,58.62,Clay,7.67,115.1,43.9,47.7,23.5,2.2641
SANGLI,2016,Soyabean,Kharif,226.95,25.97,328.4,57.96,Clay Loam,6.25,113.7,37.2,41.2,37.4,2.3724
AHMEDNAGAR,2010,Jowar,Rabi,63809.01,25.76,647.7,43.14,Clay,7.64,152.1,56.9,44.6,29.1,2.5825
SATARA,2015,Groundnut,Kharif,420.74,23.68,971.2,61.64,Clay Loam,6.96,134.9,55.2,35.1,36.8,1.7148
NAGPUR,2004,Cotton(lint),Kharif,1337.09,23.41,909.1,65.83,Clay,6.64,123.0,19.8,39.4,21.8,0.6364
RAIGAD,2008,Onion,Rabi,896.92,27.31,1295.7,78.38,Laterite,5.62,60.3,41.1,40.9,27.1,20.7325
BEED,2020,Sugarcane,Whole Year,245.71,28.46,665.1,54.49,Clay Loam,7.45,95.0,42.5,38.4,12.5,88.1388
BULDHANA,2008,Sugarcane,Whole Year,1362.03,29.72,1265.4,66.76,Clay,7.68,104.7,29.2,36.2,21.2,81.4575
BHANDARA,2004,Sugarcane,Whole Year,435.52,29.05,688.0,60.27,Clay,6.29,91.6,43.2,42.6,20.6,88.7517
BEED,2009,Bajra,Kharif,111.39,29.77,318.4,46.1,Clay,7.71,72.0,38.2,37.2,12.6,1.5145
BHANDARA,2022,Jowar,Kharif,540.24,29.86,1140.6,64.25,Clay,7.7,95.7,55.5,44.4,27.6,2.6942
SANGLI,2007,Groundnut,Kharif,379.71,25.33,891.5,64.35,Clay,6.75,134.8,54.3,53.0,49.0,2.2454
NANDURBAR,2009,Wheat,Rabi,23949.26,27.45,235.5,54.55,Clay Loam,7.0,103.5,47.5,36.3,38.0,2.0677
BHANDARA,2011,Sugarcane,Whole Year,2545.98,32.14,546.6,53.46,Loam,7.61,78.7,50.1,43.9,20.3,109.0585
BEED,2018,Sugarcane,Whole Year,4538.62,29.16,657.3,58.19,Clay,8.09,111.9,33.8,33.0,26.8,86.414
JALNA,2008,Cotton(lint),Kharif,20673.86,30.35,929.9,46.81,Clay Loam,7.79,111.1,45.4,38.7,22.5,0.8538
AURANGABAD,2016,Wheat,Rabi,257.77,29.12,536.0,50.2,Clay,7.26,87.1,50.4,35.3,29.6,2.3865
JALNA,2021,Bajra,Kharif,234.37,29.5,774.0,47.01,Clay Loam,7.48,116.4,52.6,37.9,19.9,1.9748
PALGHAR,2018,Bajra,Kharif,143.55,24.98,2111.9,74.53,Laterite,5.49,90.7,30.2,44.8,24.9,2.065
JALNA,2010,Onion,Kharif,1362.74,29.81,346.2,54.87,Clay Loam,6.9,105.2,39.5,40.8,15.9,18.3839
BEED,2011,Jowar,Rabi,10457.77,27.39,111.9,57.31,Clay Loam,7.34,91.2,36.7,48.4,19.0,2.2144
PARBHANI,2020,Rice,Kharif,129.86,30.0,562.8,49.72,Clay Loam,7.5,59.4,51.0,49.0,21.2,3.9381
SINDHUDURG,2016,Jowar,Kharif,297.19,26.0,2717.2,81.5,Laterite,5.16,62.7,32.9,33.0,39.0,2.9696
WARDHA,2022,Wheat,Rabi,15765.57,28.13,1165.5,59.22,Loam,6.53,116.0,31.2,48.3,26.2,2.7234
