District_Name,Taluka,Latitude,Longitude,Elevation_m,Agro_Climatic_Zone,Dominant_Soil_Reaction,Crop_Year,Season,Crop,Crop_Type,Mean_Temperature_C,Max_Temperature_C,Min_Temperature_C,Diurnal_Temp_Range_C,Relative_Humidity_pct,Total_Rainfall_mm,Solar_Radiation_MJ_m2_day,Wind_Speed_m_s,Soil_Moisture_Topsoil_frac,Soil_Moisture_Rootzone_frac,Soil_Fertility_Index_Score,Soil_N_Low_pct,Soil_N_Medium_pct,Soil_N_High_pct,Soil_P_Low_pct,Soil_P_Medium_pct,Soil_P_High_pct,Soil_K_Low_pct,Soil_K_Medium_pct,Soil_K_High_pct,Soil_OC_Low_pct,Soil_OC_Medium_pct,Soil_OC_High_pct,Soil_pH_Acidic_pct,Soil_pH_Neutral_pct,Soil_pH_Alkaline_pct,Soil_EC_NonSaline_pct,Soil_EC_Saline_pct,Soil_S_Sufficient_pct,Soil_Fe_Sufficient_pct,Soil_Zn_Sufficient_pct,Soil_Cu_Sufficient_pct,Soil_B_Sufficient_pct,Soil_Mn_Sufficient_pct,District_Area_ha,District_Production_t,District_Yield_t_per_ha
Kolhapur,Ajra,16.1546,74.1739,716.0,Sub-Montane Zone,Neutral Loamy,1997,Kharif,Arhar/Tur,Pulses,23.31,29.23,19.72,9.51,88.56,1517.17,16.62,4.01,0.845,0.858,2.073,83.05,16.68,0.26,8.96,14.64,76.41,10.47,41.53,48.0,28.48,36.06,35.46,38.81,61.17,0.02,99.3,0.7,54.74,82.5,64.83,99.37,68.42,99.54,3700.0,900.0,0.243
Kolhapur,Ajra,16.1546,74.1739,716.0,Sub-Montane Zone,Neutral Loamy,1997,Kharif,Bajra,Cereals,23.31,29.23,19.72,9.51,88.56,1517.17,16.62,4.01,0.845,0.858,2.073,83.05,16.68,0.26,8.96,14.64,76.41,10.47,41.53,48.0,28.48,36.06,35.46,38.81,61.17,0.02,99.3,0.7,54.74,82.5,64.83,99.37,68.42,99.54,100.0,100.0,1.0
Kolhapur,Ajra,16.1546,74.1739,716.0,Sub-Montane Zone,Neutral Loamy,1997,Kharif,Gram,Pulses,23.31,29.23,19.72,9.51,88.56,1517.17,16.62,4.01,0.845,0.858,2.073,83.05,16.68,0.26,8.96,14.64,76.41,10.47,41.53,48.0,28.48,36.06,35.46,38.81,61.17,0.02,99.3,0.7,54.74,82.5,64.83,99.37,68.42,99.54,9700.0,6700.0,0.691
Kolhapur,Ajra,16.1546,74.1739,716.0,Sub-Montane Zone,Neutral Loamy,1997,Kharif,Jowar,Cereals,23.31,29.23,19.72,9.51,88.56,1517.17,16.62,4.01,0.845,0.858,2.073,83.05,16.68,0.26,8.96,14.64,76.41,10.47,41.53,48.0,28.48,36.06,35.46,38.81,61.17,0.02,99.3,0.7,54.74,82.5,64.83,99.37,68.42,99.54,16000.0,233100.0,14.569
Kolhapur,Ajra,16.1546,74.1739,716.0,Sub-Montane Zone,Neutral Loamy,1997,Kharif,Maize,Cereals,23.31,29.23,19.72,9.51,88.56,1517.17,16.62,4.01,0.845,0.858,2.073,83.05,16.68,0.26,8.96,14.64,76.41,10.47,41.53,48.0,28.48,36.06,35.46,38.81,61.17,0.02,99.3,0.7,54.74,82.5,64.83,99.37,68.42,99.54,1500.0,1600.0,1.067
Kolhapur,Ajra,16.1546,74.1739,716.0,Sub-Montane Zone,Neutral Loamy,1997,Kharif,Moong(Green Gram),Pulses,23.31,29.23,19.72,9.51,88.56,1517.17,16.62,4.01,0.845,0.858,2.073,83.05,16.68,0.26,8.96,14.64,76.41,10.47,41.53,48.0,28.48,36.06,35.46,38.81,61.17,0.02,99.3,0.7,54.74,82.5,64.83,99.37,68.42,99.54,1600.0,1000.0,0.625
Kolhapur,Ajra,16.1546,74.1739,716.0,Sub-Montane Zone,Neutral Loamy,1997,Kharif,Other Rabi Pulses,Pulses,23.31,29.23,19.72,9.51,88.56,1517.17,16.62,4.01,0.845,0.858,2.073,83.05,16.68,0.26,8.96,14.64,76.41,10.47,41.53,48.0,28.48,36.06,35.46,38.81,61.17,0.02,99.3,0.7,54.74,82.5,64.83,99.37,68.42,99.54,142.0,65.0,0.458
Kolhapur,Ajra,16.1546,74.1739,716.0,Sub-Montane Zone,Neutral Loamy,1997,Kharif,Ragi,Cereals,23.31,29.23,19.72,9.51,88.56,1517.17,16.62,4.01,0.845,0.858,2.073,83.05,16.68,0.26,8.96,14.64,76.41,10.47,41.53,48.0,28.48,36.06,35.46,38.81,61.17,0.02,99.3,0.7,54.74,82.5,64.83,99.37,68.42,99.54,24700.0,24300.0,0.984
Kolhapur,Ajra,16.1546,74.1739,716.0,Sub-Montane Zone,Neutral Loamy,1997,Kharif,Rice,Cereals,23.31,29.23,19.72,9.51,88.56,1517.17,16.62,4.01,0.845,0.858,2.073,83.05,16.68,0.26,8.96,14.64,76.41,10.47,41.53,48.0,28.48,36.06,35.46,38.81,61.17,0.02,99.3,0.7,54.74,82.5,64.83,99.37,68.42,99.54,1100.0,246100.0,223.727
Kolhapur,Ajra,16.1546,74.1739,716.0,Sub-Montane Zone,Neutral Loamy,1997,Kharif,Sugarcane,Sugar,23.31,29.23,19.72,9.51,88.56,1517.17,16.62,4.01,0.845,0.858,2.073,83.05,16.68,0.26,8.96,14.64,76.41,10.47,41.53,48.0,28.48,36.06,35.46,38.81,61.17,0.02,99.3,0.7,54.74,82.5,64.83,99.37,68.42,99.54,1707.0,3067.0,1.797
Kolhapur,Ajra,16.1546,74.1739,716.0,Sub-Montane Zone,Neutral Loamy,1997,Kharif,Urad,Pulses,23.31,29.23,19.72,9.51,88.56,1517.17,16.62,4.01,0.845,0.858,2.073,83.05,16.68,0.26,8.96,14.64,76.41,10.47,41.53,48.0,28.48,36.06,35.46,38.81,61.17,0.02,99.3,0.7,54.74,82.5,64.83,99.37,68.42,99.54,3200.0,2700.0,0.844
Kolhapur,Ajra,16.1546,74.1739,716.0,Sub-Montane Zone,Neutral Loamy,1997,Rabi,Jowar,Cereals,23.84,34.44,14.23,20.21,64.36,134.34,19.44,1.81,0.428,0.57,2.073,83.05,16.68,0.26,8.96,14.64,76.41,10.47,41.53,48.0,28.48,36.06,35.46,38.81,61.17,0.02,99.3,0.7,54.74,82.5,64.83,99.37,68.42,99.54,10300.0,8800.0,0.854
Kolhapur,Ajra,16.1546,74.1739,716.0,Sub-Montane Zone,Neutral Loamy,1997,Rabi,Maize,Cereals,23.84,34.44,14.23,20.21,64.36,134.34,19.44,1.81,0.428,0.57,2.073,83.05,16.68,0.26,8.96,14.64,76.41,10.47,41.53,48.0,28.48,36.06,35.46,38.81,61.17,0.02,99.3,0.7,54.74,82.5,64.83,99.37,68.42,99.54,4000.0,3200.0,0.8
Kolhapur,Ajra,16.1546,74.1739,716.0,Sub-Montane Zone,Neutral Loamy,1997,Rabi,Other Rabi Pulses,Pulses,23.84,34.44,14.23,20.21,64.36,134.34,19.44,1.81,0.428,0.57,2.073,83.05,16.68,0.26,8.96,14.64,76.41,10.47,41.53,48.0,28.48,36.06,35.46,38.81,61.17,0.02,99.3,0.7,54.74,82.5,64.83,99.37,68.42,99.54,330.0,14.0,0.042
Kolhapur,Ajra,16.1546,74.1739,716.0,Sub-Montane Zone,Neutral Loamy,1997,Rabi,Wheat,Cereals,23.84,34.44,14.23,20.21,64.36,134.34,19.44,1.81,0.428,0.57,2.073,83.05,16.68,0.26,8.96,14.64,76.41,10.47,41.53,48.0,28.48,36.06,35.46,38.81,61.17,0.02,99.3,0.7,54.74,82.5,64.83,99.37,68.42,99.54,6300.0,10100.0,1.603
