District_Name,Crop_Year,Season,Crop,Crop_Type,Area_ha,Production_t,Yield_t_per_ha,Temperature_C,Humidity_pct,Rainfall_mm
Ahilyanagar,1997,Autumn,Maize,Cereals,1.0,1113.0,1113.0,24.99,70.97666666666667,216.14
Ahilyanagar,1997,Kharif,Arhar/Tur,Pulses,17600.0,6300.0,0.358,25.887500000000003,73.53999999999999,411.8
Ahilyanagar,1997,Kharif,Bajra,Cereals,274100.0,152800.0,0.557,25.887500000000003,73.53999999999999,411.8
Ahilyanagar,1997,Kharif,Gram,Pulses,40800.0,18600.0,0.456,25.887500000000003,73.53999999999999,411.8
Ahilyanagar,1997,Kharif,Jowar,Cereals,900.0,1100.0,1.222,25.887500000000003,73.53999999999999,411.8
Ahilyanagar,1997,Kharif,Maize,Cereals,4400.0,4700.0,1.068,25.887500000000003,73.53999999999999,411.8
Ahilyanagar,1997,Kharif,Moong(Green Gram),Pulses,10200.0,900.0,0.088,25.887500000000003,73.53999999999999,411.8
Ahilyanagar,1997,Kharif,Other Rabi Pulses,Pulses,451.0,130.0,0.288,25.887500000000003,73.53999999999999,411.8
Ahilyanagar,1997,Kharif,Ragi,Cereals,2600.0,2100.0,0.808,25.887500000000003,73.53999999999999,411.8
Ahilyanagar,1997,Kharif,Rice,Cereals,5900.0,7200.0,1.22,25.887500000000003,73.53999999999999,411.8
Ahilyanagar,1997,Kharif,Sugarcane,Sugar,49284.0,40776.0,0.827,25.887500000000003,73.53999999999999,411.8
Ahilyanagar,1997,Kharif,Urad,Pulses,1600.0,800.0,0.5,25.887500000000003,73.53999999999999,411.8
Ahilyanagar,1997,Rabi,Jowar,Cereals,598400.0,217000.0,0.363,23.826666666666668,54.08500000000001,182.46
Ahilyanagar,1997,Rabi,Maize,Cereals,6200.0,9100.0,1.468,23.826666666666668,54.08500000000001,182.46
Ahilyanagar,1997,Rabi,Other Rabi Pulses,Pulses,60.0,3.0,0.05,23.826666666666668,54.08500000000001,182.46
Ahilyanagar,1997,Rabi,Wheat,Cereals,79700.0,87100.0,1.093,23.826666666666668,54.08500000000001,182.46
Ahilyanagar,1997,Summer,Maize,Cereals,1100.0,1900.0,1.727,30.17,33.565,9.76
Ahilyanagar,1997,Whole Year,Cotton(Lint),Fiber Crops,98.0,17900.0,182.653,25.525833333333335,54.578333333333326,610.22
Ahilyanagar,1998,Kharif,Arhar/Tur,Pulses,18800.0,9700.0,0.516,26.099999999999998,77.7525,660.5
Ahilyanagar,1998,Kharif,Bajra,Cereals,302400.0,243900.0,0.807,26.099999999999998,77.7525,660.5
Ahilyanagar,1998,Kharif,Castor Seed,Oilseeds,400.0,100.0,0.25,26.099999999999998,77.7525,660.5
Ahilyanagar,1998,Kharif,Cotton(Lint),Fiber Crops,12100.0,19900.0,1.645,26.099999999999998,77.7525,660.5
Ahilyanagar,1998,Kharif,Groundnut,Oilseeds,7100.0,6200.0,0.873,26.099999999999998,77.7525,660.5
Ahilyanagar,1998,Kharif,Jowar,Cereals,300.0,500.0,1.667,26.099999999999998,77.7525,660.5
