Taluka,Latitude,Longitude,Year,Month,Temperature_C,Humidity_pct,Rain_mm_per_day
Ajra,16.1546,74.1739,1997,1,21.26,56.13,0.07
Ajra,16.1546,74.1739,1997,2,23.01,37.76,0.0
Ajra,16.1546,74.1739,1997,3,27.27,43.13,0.19
Ajra,16.1546,74.1739,1997,4,27.32,51.27,0.61
Ajra,16.1546,74.1739,1997,5,28.08,55.56,0.21
Ajra,16.1546,74.1739,1997,6,24.64,81.99,14.76
Ajra,16.1546,74.1739,1997,7,23.25,91.46,17.21
Ajra,16.1546,74.1739,1997,8,22.73,92.35,16.16
Ajra,16.1546,74.1739,1997,9,22.62,88.44,1.33
Ajra,16.1546,74.1739,1997,10,24.03,80.08,1.7
Ajra,16.1546,74.1739,1997,11,23.55,79.21,1.41
Ajra,16.1546,74.1739,1997,12,22.31,72.95,1.26
Ajra,16.1546,74.1739,1997,13,24.18,69.39,4.61
Ajra,16.1546,74.1739,1998,1,22.63,56.8,0.0
Ajra,16.1546,74.1739,1998,2,23.86,48.35,0.01
Ajra,16.1546,74.1739,1998,3,26.69,48.74,0.0
Ajra,16.1546,74.1739,1998,4,30.29,46.03,0.12
Ajra,16.1546,74.1739,1998,5,28.68,64.21,2.48
Ajra,16.1546,74.1739,1998,6,25.17,81.73,15.62
Ajra,16.1546,74.1739,1998,7,23.41,91.19,10.5
Ajra,16.1546,74.1739,1998,8,23.47,91.54,10.29
Ajra,16.1546,74.1739,1998,9,23.21,91.11,7.39
Ajra,16.1546,74.1739,1998,10,22.57,88.64,2.98
Ajra,16.1546,74.1739,1998,11,20.89,79.97,1.38
Ajra,16.1546,74.1739,1998,12,19.66,61.49,0.05
Ajra,16.1546,74.1739,1998,13,24.21,70.96,4.25
Ajra,16.1546,74.1739,1999,1,21.05,47.38,0.0
Ajra,16.1546,74.1739,1999,2,25.7,38.1,0.05
Ajra,16.1546,74.1739,1999,3,28.12,40.23,0.0
Ajra,16.1546,74.1739,1999,4,28.42,54.79,0.01
Ajra,16.1546,74.1739,1999,5,25.88,72.05,4.22
Ajra,16.1546,74.1739,1999,6,23.63,87.04,13.91
Ajra,16.1546,74.1739,1999,7,22.99,91.52,17.06
Ajra,16.1546,74.1739,1999,8,22.68,90.01,3.62
Ajra,16.1546,74.1739,1999,9,22.74,88.36,3.08
Ajra,16.1546,74.1739,1999,10,23.12,83.02,4.13
Ajra,16.1546,74.1739,1999,11,22.03,65.89,0.05
Ajra,16.1546,74.1739,1999,12,21.58,49.84,0.0
Ajra,16.1546,74.1739,1999,13,23.98,67.52,3.87
Ajra,16.1546,74.1739,2000,1,23.37,38.34,0.02
Ajra,16.1546,74.1739,2000,2,23.41,52.99,0.09
Ajra,16.1546,74.1739,2000,3,26.57,42.04,0.0
Ajra,16.1546,74.1739,2000,4,28.59,55.29,0.61
Ajra,16.1546,74.1739,2000,5,26.39,70.38,3.84
Ajra,16.1546,74.1739,2000,6,23.72,87.8,9.81
Ajra,16.1546,74.1739,2000,7,22.65,90.53,12.67
Ajra,16.1546,74.1739,2000,8,22.7,90.0,7.95
Ajra,16.1546,74.1739,2000,9,23.41,87.47,4.87
Ajra,16.1546,74.1739,2000,10,23.31,80.61,2.67
Ajra,16.1546,74.1739,2000,11,22.06,66.76,0.26
Ajra,16.1546,74.1739,2000,12,21.22,45.08,0.19
Ajra,16.1546,74.1739,2000,13,23.95,67.28,3.6
Ajra,16.1546,74.1739,2001,1,23.32,43.82,0.06
Ajra,16.1546,74.1739,2001,2,24.99,36.16,0.0
Ajra,16.1546,74.1739,2001,3,25.79,48.62,0.0
Ajra,16.1546,74.1739,2001,4,28.69,51.96,0.61
Ajra,16.1546,74.1739,2001,5,27.27,64.28,2.0
Ajra,16.1546,74.1739,2001,6,24.04,83.31,7.04
Ajra,16.1546,74.1739,2001,7,23.12,88.35,10.13
Ajra,16.1546,74.1739,2001,8,22.66,90.61,7.17
Ajra,16.1546,74.1739,2001,9,23.19,86.76,2.7
Ajra,16.1546,74.1739,2001,10,22.7,81.77,2.49
Ajra,16.1546,74.1739,2001,11,22.9,68.51,0.55
Ajra,16.1546,74.1739,2001,12,21.98,51.52,0.03
Ajra,16.1546,74.1739,2001,13,24.21,66.48,2.75
Ajra,16.1546,74.1739,2002,1,22.11,50.36,0.01
Ajra,16.1546,74.1739,2002,2,25.35,42.05,0.01
Ajra,16.1546,74.1739,2002,3,27.8,44.38,0.01
Ajra,16.1546,74.1739,2002,4,29.74,49.32,0.31
Ajra,16.1546,74.1739,2002,5,27.65,67.41,1.31
Ajra,16.1546,74.1739,2002,6,24.54,85.93,13.34
Ajra,16.1546,74.1739,2002,7,23.54,87.51,4.6
Ajra,16.1546,74.1739,2002,8,22.88,89.61,9.23
Ajra,16.1546,74.1739,2002,9,23.13,85.01,1.51
Ajra,16.1546,74.1739,2002,10,24.0,79.39,4.09
Ajra,16.1546,74.1739,2002,11,23.26,62.73,0.1
Ajra,16.1546,74.1739,2002,12,22.44,48.73,0.0
Ajra,16.1546,74.1739,2002,13,24.69,66.18,2.89
Ajra,16.1546,74.1739,2003,1,23.61,47.0,0.0
Ajra,16.1546,74.1739,2003,2,25.76,44.94,0.07
Ajra,16.1546,74.1739,2003,3,27.61,45.33,0.41
Ajra,16.1546,74.1739,2003,4,29.2,49.41,1.04
Ajra,16.1546,74.1739,2003,5,28.82,57.99,0.41
Ajra,16.1546,74.1739,2003,6,25.43,80.01,10.15
Ajra,16.1546,74.1739,2003,7,23.6,90.68,9.18
Ajra,16.1546,74.1739,2003,8,23.36,89.49,5.15
Ajra,16.1546,74.1739,2003,9,23.24,86.59,2.28
Ajra,16.1546,74.1739,2003,10,23.57,80.05,2.99
Ajra,16.1546,74.1739,2003,11,23.21,63.62,0.08
