Taluka,Latitude,Longitude,Elevation_m,Year,Month,Temperature_C,Temp_Max_C,Temp_Min_C,Humidity_pct,Rain_mm_per_day,Solar_Radiation_MJ_m2_day,Wind_Speed_m_s,Soil_Moisture_Topsoil_frac,Soil_Moisture_Rootzone_frac
Ajra,16.1546,74.1739,716.0,1997,1,21.26,33.01,9.13,56.13,0.07,17.87,1.83,0.41,0.54
Ajra,16.1546,74.1739,716.0,1997,2,23.01,37.37,11.2,37.76,0.0,21.9,1.9,0.21,0.51
Ajra,16.1546,74.1739,716.0,1997,3,27.27,39.36,15.82,43.13,0.19,23.37,1.95,0.17,0.5
Ajra,16.1546,74.1739,716.0,1997,4,27.32,38.26,15.94,51.27,0.61,24.02,2.17,0.27,0.51
Ajra,16.1546,74.1739,716.0,1997,5,28.08,38.16,18.89,55.56,0.21,24.19,3.06,0.26,0.51
Ajra,16.1546,74.1739,716.0,1997,6,24.64,34.44,19.89,81.99,14.76,16.76,4.1,0.66,0.67
Ajra,16.1546,74.1739,716.0,1997,7,23.25,27.34,20.73,91.46,17.21,15.25,5.04,0.92,0.93
Ajra,16.1546,74.1739,716.0,1997,8,22.73,26.94,20.02,92.35,16.16,15.04,4.69,0.95,0.97
Ajra,16.1546,74.1739,716.0,1997,9,22.62,28.21,18.24,88.44,1.33,19.44,2.22,0.85,0.86
Ajra,16.1546,74.1739,716.0,1997,10,24.03,31.69,17.76,80.08,1.7,19.06,1.27,0.7,0.69
Ajra,16.1546,74.1739,716.0,1997,11,23.55,31.3,17.76,79.21,1.41,17.2,1.58,0.61,0.62
Ajra,16.1546,74.1739,716.0,1997,12,22.31,31.41,12.43,72.95,1.26,17.11,1.57,0.56,0.58
Ajra,16.1546,74.1739,716.0,1997,13,24.18,39.36,9.13,69.39,4.61,19.25,2.62,0.55,0.66
Ajra,16.1546,74.1739,716.0,1998,1,22.63,34.83,12.0,56.8,0.0,18.38,1.98,0.37,0.52
Ajra,16.1546,74.1739,716.0,1998,2,23.86,36.84,11.93,48.35,0.01,21.11,2.2,0.19,0.51
Ajra,16.1546,74.1739,716.0,1998,3,26.69,40.59,13.5,48.74,0.0,23.77,2.24,0.14,0.5
Ajra,16.1546,74.1739,716.0,1998,4,30.29,42.13,20.55,46.03,0.12,24.13,2.35,0.11,0.5
Ajra,16.1546,74.1739,716.0,1998,5,28.68,41.94,20.44,64.21,2.48,23.42,2.67,0.45,0.54
Ajra,16.1546,74.1739,716.0,1998,6,25.17,38.22,20.77,81.73,15.62,17.91,3.92,0.68,0.67
Ajra,16.1546,74.1739,716.0,1998,7,23.41,28.08,20.12,91.19,10.5,15.15,4.31,0.9,0.91
Ajra,16.1546,74.1739,716.0,1998,8,23.47,28.0,20.57,91.54,10.29,15.29,3.38,0.92,0.94
Ajra,16.1546,74.1739,716.0,1998,9,23.21,28.51,20.08,91.11,7.39,15.98,2.79,0.91,0.93
