District_Name,Year,Month,Temperature_C,Humidity_pct,Rain_mm_per_day
Mumbai City,1997,1,22.19,53.5,0.07
Mumbai City,1997,2,24.26,43.41,0.0
Mumbai City,1997,3,29.39,39.59,0.0
Mumbai City,1997,4,29.28,52.13,0.06
Mumbai City,1997,5,30.53,58.21,0.04
Mumbai City,1997,6,28.11,81.08,18.52
Mumbai City,1997,7,26.58,89.04,16.43
Mumbai City,1997,8,25.85,90.2,21.61
Mumbai City,1997,9,25.65,87.38,5.82
Mumbai City,1997,10,25.83,77.71,0.4
Mumbai City,1997,11,25.91,76.02,2.97
Mumbai City,1997,12,22.71,74.14,1.19
Mumbai City,1997,13,26.37,68.68,5.62
Mumbai City,1998,1,23.12,58.52,0.0
Mumbai City,1998,2,24.43,48.41,0.0
Mumbai City,1998,3,27.85,46.57,0.0
Mumbai City,1998,4,31.11,53.7,0.0
Mumbai City,1998,5,32.62,55.89,0.23
Mumbai City,1998,6,29.56,74.36,11.63
Mumbai City,1998,7,26.75,89.6,19.45
Mumbai City,1998,8,26.86,90.62,13.95
Mumbai City,1998,9,26.59,89.66,13.27
Mumbai City,1998,10,26.26,83.83,10.03
Mumbai City,1998,11,24.12,75.64,1.09
Mumbai City,1998,12,21.59,63.37,0.0
Mumbai City,1998,13,26.75,69.31,5.84
Mumbai City,1999,1,21.69,57.15,0.0
Mumbai City,1999,2,26.64,47.81,0.02
Mumbai City,1999,3,29.11,39.89,0.0
Mumbai City,1999,4,30.45,56.05,0.0
Mumbai City,1999,5,29.47,67.4,1.73
Mumbai City,1999,6,27.7,80.92,15.31
Mumbai City,1999,7,26.53,88.56,12.75
Mumbai City,1999,8,25.75,88.92,4.9
Mumbai City,1999,9,25.76,88.91,10.98
Mumbai City,1999,10,25.63,80.87,7.52
Mumbai City,1999,11,23.38,66.99,0.0
Mumbai City,1999,12,22.33,56.12,0.0
Mumbai City,1999,13,26.19,68.41,4.45
Mumbai City,2000,1,23.43,48.02,0.0
Mumbai City,2000,2,24.14,51.28,0.0
Mumbai City,2000,3,27.56,42.79,0.0
Mumbai City,2000,4,30.74,55.3,0.0
Mumbai City,2000,5,29.2,70.9,8.71
Mumbai City,2000,6,27.58,84.18,10.48
